Case Status,Legislation,Case Reference,Received Date,Received FY,Received FY Month,Received Qtr,Completed Date,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Decision Primary Reason,Submitted About Account,Decision,Decision Detail1,Decision Detail2
Completed,Hybrid,IC-153978-K9V9,03/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Unassigned,Art 32 - Security of processing,Discord Inc.,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-149247-S7K1,09/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Central Government,Executive agencies,Art 5(1)(f) - Integrity and confidentiality principle,Driver and Vehicle Licensing Agency (DVLA),Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-145067-C4K2,09/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 15(3)(1) - Provide a copy of the personal data,Ebay (UK) Limited,Informal action taken,Potential infringement,DP complaint resolved by org
Completed,Hybrid,IC-157314-R6Q7,22/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Building and property construction,Art 6 - Lawfulness of processing,Eco Save Ltd,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-53752-C8J9,08/07/2020,2020/21,04-Jul,Q2,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Unassigned,Art 6 - Lawfulness of processing,Estate-agent.org.uk,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-140965-X3J4,16/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Social media,Art 17 - Right to erasure,Facebook UK Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151829-L3F0,21/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 32 - Security of processing,Farrer & Co LLP,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151646-M1F3,20/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,Art 21 - Right to object,FEVER LABS INC,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-155121-K4G7,09/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Entertainment providers,Art 21(2) - Objection to direct marketing,FO Leisure Ltd,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-150768-G4N4,11/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Housing association,Art 6 - Lawfulness of processing,FREEBRIDGE COMMUNITY HOUSING LIMITED,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-160116-F7T2,09/03/2022,2021/22,12-Mar,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Building and property construction,Art 15 - Right of access,Frencon Construction Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-154460-H8T6,06/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 17 - Right to erasure,Go Compare.com Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-131004-Z5K3,23/09/2021,2021/22,06-Sep,Q2,20/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 15(3)(1) - Provide a copy of the personal data,Hatten Wyatt Solicitors,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-150146-J0D9,14/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 17(1) - Right to erasure,Hermes Parcelnet t/a Evri,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-154331-P3S4,05/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Unassigned,Art 16 - Right to rectification,Holland and Barrett Limited ,No Further Action,No infringement,No action
Completed,Hybrid,IC-160568-C8M5,12/03/2022,2021/22,12-Mar,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Member of Parliament,Art 15(3)(1) - Provide a copy of the personal data,House of Lords,No Further Action,No infringement,No action
Completed,Hybrid,IC-157323-Z1B3,22/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Software developers,Art 17(1) - Right to erasure,"Informer Technologies, Inc.",No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-157502-P5C2,22/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Estate agency / letting agency,Art 5(1)(f) - Integrity and confidentiality principle,James Pendleton Homes Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-136287-R3X9,21/10/2021,2021/22,07-Oct,Q3,20/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 16 - Right to rectification,Kent and Medway NHS Social Care Partnership Trust,No Further Action,No infringement,No action
Completed,Hybrid,IC-157567-F5L8,23/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Local government,"Parish, community and town councils",Art 32 - Security of processing,Kingshurst Parish Council,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-148441-P0L6,03/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,Kirklees Metropolitan Council,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-153653-W7M7,02/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,General business,Business advice and consultancy,Art 15(3)(1) - Provide a copy of the personal data,LA Kilpatrick Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-147385-Q9B3,23/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 17 - Right to erasure,Labour Party,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-147465-T9M1,23/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 15 - Right of access,Labour Party,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-148949-R4Q1,09/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 15 - Right of access,Labour Party,No Further Action,No infringement,No action
Completed,Hybrid,IC-149070-S6Z2,10/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 32 - Security of processing,Labour Party,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-149205-W7M0,10/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 32 - Security of processing,Labour Party,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-149599-B1R5,11/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 15 - Right of access,Labour Party,No Further Action,No infringement,No action
Completed,Hybrid,IC-149748-Y5L5,12/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 32 - Security of processing,Labour Party,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-150042-Z3D3,13/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 32 - Security of processing,Labour Party,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-150238-X6M9,13/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Political,Political Party,Art 15 - Right of access,Labour Party,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-141379-C9R6,18/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Passenger transport,Art 5(1)(d) - Accuracy principle,Leaseplan UK Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-154158-S7T6,03/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 21 - Right to object,Legal & General Group PLC,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-136375-K0S3,22/10/2021,2021/22,07-Oct,Q3,20/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 15 - Right of access,Lewisham and Greenwich NHS Trust,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-152200-F8G0,24/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Health,Healthcare and pharmaceuticals,Art 6(1)(a) - Consent,Libertatem Healthcare,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-153716-H4Q3,02/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Debt collection/tracing,Art 17 - Right to erasure,Link Financial Outsourcing Limited,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-139754-B4M1,08/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Marketing,Marketing providers,Art 15(3)(1) - Provide a copy of the personal data,LIQUID 11 LIMITED,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-152213-C1B5,27/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Art 32 - Security of processing,Lloyds Banking Group PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-151770-X7F8,20/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Education and childcare,Maintained schools,Art 15(3)(1) - Provide a copy of the personal data,Long Wittenham CE School,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-150277-K7B1,13/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Health,Primary care,Art 15 - Right of access,Lordswood House Group Medical Practice,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-145991-M1J3,15/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,M Group Services,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-145984-D0Q8,14/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,Merthyr Tydfil County Borough Council,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-147313-M7T0,22/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Education and childcare,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Middlesex University,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Review Completed,Hybrid,IC-102520-L3P0,22/04/2021,2021/22,01-Apr,Q1,20/04/2022,2022/23,Q1,01-Apr,Health,Primary care,Art 15(3)(1) - Provide a copy of the personal data,MIDLANDS MEDICAL PARTNERSHIP (M85063),Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Review Completed,Hybrid,IC-100046-L5B4,31/03/2021,2020/21,12-Mar,Q4,20/04/2022,2022/23,Q1,01-Apr,Central Government,Government Department,Art 15(3)(1) - Provide a copy of the personal data,Ministry of Justice (MoJ),Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Review Completed,Hybrid,IC-108726-P6G5,01/02/2021,2020/21,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Central Government,Government Department,Art 15(3)(1) - Provide a copy of the personal data,Ministry of Justice (MoJ),Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151276-X2F1,19/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Social care,Residential care,Art 15(3)(1) - Provide a copy of the personal data,N NOTARO HOMES LIMITED,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-157245-W8D0,22/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Building and property construction,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Natali Development Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-128223-F2Z4,26/08/2021,2021/22,05-Aug,Q2,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 17 - Right to erasure,National Savings and Investments,No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-99347-D5H3,09/04/2021,2021/22,01-Apr,Q1,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Unassigned,Art 5(1)(d) - Accuracy principle,New Day Limited,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-144988-H9Y7,09/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Holiday providers and services,Art 15(3)(1) - Provide a copy of the personal data,Opodo Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-147140-J4D6,21/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 15 - Right of access,Plexus Law,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-154408-F2P3,06/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 15 - Right of access,Prudential UK Services Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-155662-R9S4,11/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Reactive Solutions Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-144328-Q7N7,05/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Marketing,Unassigned,Art 21(2) - Objection to direct marketing,REaD Group Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-140719-J4K0,15/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 15 - Right of access,REST EAZY LIMITED,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-151831-C7N5,26/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Rhondda Cynon Taf County Borough Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-154135-C7H2,03/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Manufacturing,Art 15 - Right of access,Rolls-Royce plc,No Further Action,No infringement,No action
Completed,Hybrid,IC-131620-D6L1,27/09/2021,2021/22,06-Sep,Q2,20/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 9 - Processing of special category data,RPS Occupational Health Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-150150-T7D2,13/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 32 - Security of processing,Sandwell and West Birmingham Hospitals NHS Trust,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-149714-M0J3,11/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 5(1)(f) - Integrity and confidentiality principle,SAS Daniels LLP,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Case Officer Review Completed,Hybrid,IC-138037-D1B4,01/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Local government,District Council,Art 15(3)(1) - Provide a copy of the personal data,South Kesteven District Council,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-148024-V5R9,29/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 5(1)(f) - Integrity and confidentiality principle,Sports and Leisure Management Ltd,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-143980-J0N3,03/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Education and childcare,Maintained schools,Art 15(3)(1) - Provide a copy of the personal data,St Stephen's Primary School,No Further Action,No infringement,No action
Completed,Hybrid,IC-153786-W9Z4,03/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Bar and restaurant,Art 6 - Lawfulness of processing,Strawberry Gardens Fleetwood Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-149503-W1L2,10/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 6(1)(a) - Consent,Sweaty Betty Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-138482-Y0P4,03/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Passenger transport,Art 15(3)(1) - Provide a copy of the personal data,Taxicode,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-157554-L9R1,23/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Estate agency / letting agency,Art 17(1) - Right to erasure,The Chancellors Group of Estate Agents Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-154252-K8F4,04/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Land or property services,Housing association,Art 5(1)(f) - Integrity and confidentiality principle,The Guinness Partnership Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-138277-V1X1,02/11/2021,2021/22,08-Nov,Q3,20/04/2022,2022/23,Q1,01-Apr,Regulators,Regulatory Body,Art 32 - Security of processing,The Nursing and Midwifery Council ,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151603-K2W8,20/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Education and childcare,Private schools,Art 17(1)(a) - No longer necessary for purpose,The Royal Ballet School,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-152260-Z9Q8,25/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Credit intermediaries,Art 5 - Principles relating to processing of personal data,TransUnion International UK Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156691-K2C7,03/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Parking,Art 5 - Principles relating to processing of personal data,UKCPS Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148477-L2P5,31/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,General business,Unassigned,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155036-V2J8,08/02/2022,2021/22,11-Feb,Q4,20/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Virgin Media Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-151729-Q2Y3,21/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Social care,Residential care,Art 15(3)(1) - Provide a copy of the personal data,Westin Care Limited,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-151684-K5K7,21/01/2022,2021/22,10-Jan,Q4,20/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Passenger transport,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Wilson’s of Rhu ,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-146282-D7F3,15/12/2021,2021/22,09-Dec,Q3,20/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 15(3)(1) - Provide a copy of the personal data,Wm Morrison Supermarkets Limited (Morrisons),No Further Action,No infringement,No action
Completed,Hybrid,IC-151796-M5C2,20/01/2022,2021/22,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,General business,Recruitment agencies,Art 17(1) - Right to erasure,4 Steps Recruitment,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-153433-R5W9,01/02/2022,2021/22,11-Feb,Q4,21/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Insurance,Art 22 - Automated decision making,AllClear Insurance Services Limited,Informal action taken,Potential infringement,Unassigned
Completed,Hybrid,IC-129875-M6Z1,17/09/2021,2021/22,06-Sep,Q2,21/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,Alliance Parking UK Ltd,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-143859-F2K8,02/12/2021,2021/22,09-Dec,Q3,21/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Lenders,Art 14 - Right to be informed,Amigo Loans Ltd,No Further Action,No infringement,Good practice advice provided
Completed,Hybrid,IC-151937-G5X6,23/01/2022,2021/22,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 5(1)(f) - Integrity and confidentiality principle,Bailey Wright & Co,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-150470-W8D0,16/01/2022,2021/22,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Art 15 - Right of access,Barclays Bank PLC,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Case Officer Review Completed,Hybrid,IC-155639-H7F5,10/02/2022,2021/22,11-Feb,Q4,21/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 15 - Right of access,Barnet Enfield & Haringey Mental Health NHS Trust,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-157057-Z6H3,21/02/2022,2021/22,11-Feb,Q4,21/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 5(1)(f) - Integrity and confidentiality principle,Beauty Bar Place,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156076-V5Q5,15/02/2022,2021/22,11-Feb,Q4,21/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 17(1) - Right to erasure,Binance Markets Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-97509-L0L7,30/03/2021,2020/21,12-Mar,Q4,21/04/2022,2022/23,Q1,01-Apr,Local government,District Council,Art 32 - Security of processing,Brentwood Borough Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-147897-Q5N6,04/01/2022,2021/22,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,Bristol City Council,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-124361-P1G7,17/08/2021,2021/22,05-Aug,Q2,21/04/2022,2022/23,Q1,01-Apr,Utilities,Utility companies,Art 15 - Right of access,British Gas Trading Limited,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-146688-R2Z8,20/12/2021,2021/22,09-Dec,Q3,21/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,Art 5(1)(f) - Integrity and confidentiality principle,British Telecommunications PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-161145-H0G7,16/03/2022,2021/22,12-Mar,Q4,21/04/2022,2022/23,Q1,01-Apr,Land or property services,Estate agency / letting agency,Art 6 - Lawfulness of processing,Butters John Bee Group Limited,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-150378-M6H9,14/01/2022,2021/22,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,Social care,Domiciliary care,Art 15 - Right of access,Caremark Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-146228-K6N5,15/12/2021,2021/22,09-Dec,Q3,21/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 6 - Lawfulness of processing,Carpet Clearance Centre t/a Bellco Limited ,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-127810-W8K9,06/09/2021,2021/22,06-Sep,Q2,21/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Casemine,No Further Action,No infringement,No action
Completed,Hybrid,IC-143131-Q0Z3,29/11/2021,2021/22,08-Nov,Q3,21/04/2022,2022/23,Q1,01-Apr,Justice,Police Forces,Art 15 - Right of access,Chief Constable West Midlands Police,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-128006-R5B8,07/09/2021,2021/22,06-Sep,Q2,21/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(1)(g) - Source of personal data,City of York Council,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Review Completed,Hybrid,IC-140255-F2N2,12/11/2021,2021/22,08-Nov,Q3,21/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Credit referencing,Art 32 - Security of processing,Clear Score Technology Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-129076-P2Y1,13/09/2021,2021/22,06-Sep,Q2,21/04/2022,2022/23,Q1,01-Apr,Land or property services,Housing association,Art 5(1)(f) - Integrity and confidentiality principle,Cobalt Housing Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-153500-G0H1,01/02/2022,2021/22,11-Feb,Q4,21/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 17(1) - Right to erasure,Colaz Franchising Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-136572-G2W5,24/10/2021,2021/22,07-Oct,Q3,21/04/2022,2022/23,Q1,01-Apr,Local government,District Council,Art 5(1)(f) - Integrity and confidentiality principle,Colchester Borough Council,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-86129-X9J1,29/01/2021,2020/21,10-Jan,Q4,21/04/2022,2022/23,Q1,01-Apr,General business,Not for profit companies,Art 5 - Principles relating to processing of personal data,Common Law Courts,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
